(t_index)(term           )(df )
(348    )(blare          )(1  )
(349    )(blast          )(20 )
(350    )(blatant        )(1  )
(351    )(blaze          )(1  )
(352    )(bless          )(1  )
(353    )(blew           )(3  )
(354    )(blind          )(1  )
(355    )(block          )(8  )
(356    )(blockad        )(1  )
(357    )(blood          )(2  )
(358    )(bloodchil      )(2  )
(359    )(bloodsh        )(2  )
(360    )(bloodstain     )(1  )
(361    )(blow           )(1  )
(362    )(blue           )(2  )
(363    )(blueprint      )(3  )
(364    )(board          )(7  )
(365    )(boast          )(1  )
(366    )(boat           )(15 )
(367    )(bob            )(1  )
(368    )(bobbi          )(1  )
(369    )(bodi           )(57 )
(370    )(bodin          )(1  )
(371    )(bodyguard      )(1  )
(372    )(bodyhunt       )(1  )
(373    )(boe            )(1  )
(374    )(bold           )(1  )
(375    )(bolster        )(1  )
(376    )(bomb           )(108)
(377    )(bombdamag      )(1  )
(378    )(bomber         )(5  )
(379    )(bombmak        )(4  )
(380    )(bond           )(3  )
(381    )(bone           )(5  )
(382    )(boo            )(1  )
(383    )(boobytrap      )(1  )
(384    )(book           )(1  )
(385    )(border         )(4  )
(386    )(borivoj        )(1  )
(387    )(bosnia         )(1  )
(388    )(boss           )(2  )
(389    )(boston         )(2  )
(390    )(bottom         )(3  )
(391    )(boucher        )(1  )
(392    )(bought         )(1  )
(393    )(bounc          )(1  )
(394    )(boundari       )(1  )
(395    )(bout           )(1  )
(396    )(bow            )(6  )
(397    )(boxer          )(1  )
(398    )(boy            )(4  )
(399    )(boycot         )(3  )
(400    )(boycott        )(1  )
(401    )(brace          )(1  )
(402    )(braci          )(1  )
(403    )(bradman        )(1  )
(404    )(branch         )(2  )
(405    )(brand          )(1  )
(406    )(brazen         )(1  )
(407    )(brazilian      )(1  )
(408    )(bread          )(1  )
(409    )(break          )(14 )
(410    )(breakfast      )(1  )
(411    )(breakout       )(2  )
(412    )(breakthrough   )(4  )
(413    )(breez          )(1  )
(414    )(brian          )(1  )
(415    )(bridg          )(1  )
(416    )(brie           )(4  )
(417    )(brief          )(3  )
(418    )(brilliant      )(1  )
(419    )(bring          )(14 )
(420    )(brink          )(1  )
(421    )(briskli        )(2  )
(422    )(bristl         )(1  )
(423    )(britain        )(3  )
(424    )(british        )(8  )
(425    )(broadcast      )(3  )
(426    )(broader        )(3  )
(427    )(brokaw         )(1  )
(428    )(broke          )(9  )
(429    )(brother        )(4  )
(430    )(brought        )(12 )
(431    )(brown          )(1  )
(432    )(brunei         )(2  )
(433    )(bubbl          )(1  )
(434    )(bucket         )(1  )
(435    )(buckl          )(1  )
(436    )(budget         )(1  )
(437    )(buffer         )(1  )
(438    )(build          )(35 )
(439    )(built          )(3  )
(440    )(bulldoz        )(5  )
(441    )(bulli          )(1  )
(442    )(bureau         )(2  )
(443    )(burglari       )(1  )
(444    )(buri           )(17 )
(445    )(burial         )(3  )
(446    )(burn           )(5  )
(447    )(burnedout      )(1  )
(448    )(burton         )(2  )
(449    )(buse           )(1  )
(450    )(bush           )(32 )
(451    )(bushgor        )(1  )
(452    )(busi           )(7  )
(453    )(busiest        )(1  )
(454    )(businessman    )(37 )
(455    )(bust           )(2  )
(456    )(bustl          )(1  )
(457    )(butcher        )(1  )
(458    )(buy            )(4  )
(459    )(byfoot         )(1  )
(460    )(cabinet        )(2  )
(461    )(cabl           )(2  )
(462    )(cacak          )(1  )
(463    )(cairo          )(1  )
(464    )(calamit        )(1  )
(465    )(calif          )(1  )
(466    )(california     )(3  )
(467    )(call           )(44 )
(468    )(calm           )(5  )
(469    )(came           )(20 )
(470    )(camel          )(1  )
(471    )(camera         )(1  )
(472    )(cameroon       )(1  )
(473    )(campaign       )(29 )
(474    )(canal          )(2  )
(475    )(cancel         )(4  )
(476    )(cancer         )(4  )
(477    )(candid         )(29 )
(478    )(candidaci      )(1  )
(479    )(candiotti      )(2  )
(480    )(candlelight    )(1  )
(481    )(cant           )(2  )
(482    )(canva          )(1  )
(483    )(cap            )(1  )
(484    )(capit          )(29 )
(485    )(capitol        )(4  )
(486    )(capriati       )(12 )
(487    )(captain        )(4  )
(488    )(captur         )(11 )
(489    )(car            )(6  )
(490    )(caravan        )(1  )
(491    )(card           )(2  )
(492    )(care           )(2  )
(493    )(career         )(7  )
(494    )(cargo          )(1  )
(495    )(carl           )(2  )
(496    )(carmen         )(1  )
(497    )(carnahan       )(29 )
(498    )(carpent        )(2  )
(499    )(carri          )(28 )
(500    )(carter         )(2  )
(501    )(carv           )(1  )
(502    )(case           )(10 )
(503    )(cash           )(1  )
(504    )(casket         )(3  )
(505    )(cast           )(5  )
(506    )(castil         )(1  )
(507    )(castro         )(1  )
(508    )(casual         )(1  )
(509    )(casualti       )(2  )
(510    )(catastroph     )(1  )
(511    )(catch          )(1  )
(512    )(catherin       )(1  )
(513    )(caught         )(1  )
(514    )(caus           )(17 )
(515    )(caution        )(4  )
(516    )(cautiou        )(1  )
(517    )(cawl           )(3  )
(518    )(cd             )(1  )
(519    )(ceasefir       )(2  )
(520    )(celebr         )(8  )
(521    )(cell           )(2  )
(522    )(cellphon       )(1  )
(523    )(cellular       )(1  )
(524    )(center         )(11 )
(525    )(central        )(16 )
(526    )(centuri        )(6  )
(527    )(ceremoni       )(8  )
(528    )(certain        )(1  )
(529    )(certif         )(1  )
(530    )(cessna         )(2  )
(531    )(chad           )(1  )
(532    )(chadwick       )(2  )
(533    )(chain          )(3  )
(534    )(chair          )(2  )
(535    )(chairman       )(5  )
(536    )(challeng       )(6  )
(537    )(champ          )(2  )
(538    )(champion       )(14 )
(539    )(championship   )(1  )
(540    )(chanc          )(7  )
(541    )(chandler       )(2  )
(542    )(chang          )(7  )
(543    )(changeov       )(1  )
(544    )(chao           )(4  )
(545    )(chaotic        )(2  )
(546    )(charact        )(1  )
(547    )(characterist   )(1  )
(548    )(charg          )(23 )
(549    )(charit         )(2  )
(550    )(charl          )(4  )
(551    )(chase          )(2  )
(552    )(chavez         )(2  )
(553    )(cheat          )(2  )
(554    )(chechnya       )(1  )
(555    )(check          )(3  )
(556    )(cheer          )(8  )
(557    )(chela          )(1  )
(558    )(cheney         )(3  )
(559    )(cheri          )(1  )
(560    )(cheron         )(1  )
(561    )(chew           )(1  )
(562    )(chi            )(6  )
(563    )(chief          )(11 )
(564    )(child          )(2  )
(565    )(children       )(4  )
(566    )(chill          )(2  )
(567    )(china          )(2  )
(568    )(chirac         )(1  )
(569    )(choic          )(4  )
(570    )(choice:        )(2  )
(571    )(choke          )(1  )
(572    )(choos          )(2  )
(573    )(chosen         )(1  )
(574    )(chri           )(2  )
(575    )(christen       )(1  )
(576    )(christian      )(2  )
(577    )(christma       )(6  )
(578    )(christoph      )(2  )
(579    )(chubbi         )(1  )
(580    )(church         )(1  )
(581    )(cia            )(2  )
(582    )(cigarett       )(1  )
(583    )(circl          )(1  )
(584    )(circumst       )(1  )
(585    )(cisnero        )(1  )
(586    )(cite           )(2  )
(587    )(citi           )(33 )
(588    )(citizen        )(4  )
(589    )(citizenri      )(1  )
(590    )(citizenship    )(1  )
(591    )(civil          )(7  )
(592    )(civilian       )(9  )
(593    )(claim          )(10 )
(594    )(clair          )(1  )
(595    )(clamor         )(1  )
(596    )(clark          )(1  )
(597    )(clash          )(7  )
(598    )(class          )(4  )
(599    )(classic        )(3  )
