(t_index)(term           )(df )
(1853   )(known          )(18 )
(1854   )(kolesnikov     )(2  )
(1855   )(kolubara       )(1  )
(1856   )(konan          )(1  )
(1857   )(korea          )(4  )
(1858   )(kosovo         )(1  )
(1859   )(kostunica      )(30 )
(1860   )(kothari        )(1  )
(1861   )(kournikova     )(4  )
(1862   )(kremlin        )(1  )
(1863   )(krugel         )(2  )
(1864   )(kuchera        )(1  )
(1865   )(kuerten        )(1  )
(1866   )(kuerton        )(1  )
(1867   )(kugel          )(1  )
(1868   )(kursk          )(47 )
(1869   )(kuwait         )(4  )
(1870   )(la             )(6  )
(1871   )(labor          )(4  )
(1872   )(labori         )(1  )
(1873   )(lack           )(1  )
(1874   )(laden          )(6  )
(1875   )(ladi           )(6  )
(1876   )(lam            )(1  )
(1877   )(lament         )(1  )
(1878   )(lanchin        )(1  )
(1879   )(land           )(7  )
(1880   )(landmark       )(3  )
(1881   )(landscap       )(2  )
(1882   )(landslid       )(11 )
(1883   )(landstuhl      )(1  )
(1884   )(lap            )(1  )
(1885   )(laps           )(7  )
(1886   )(larg           )(4  )
(1887   )(larger         )(3  )
(1888   )(largess        )(1  )
(1889   )(largest        )(8  )
(1890   )(laron          )(1  )
(1891   )(larri          )(2  )
(1892   )(last           )(97 )
(1893   )(lastminut      )(3  )
(1894   )(late           )(18 )
(1895   )(later          )(14 )
(1896   )(latest         )(13 )
(1897   )(latin          )(2  )
(1898   )(launch         )(9  )
(1899   )(lauran         )(1  )
(1900   )(laurent        )(3  )
(1901   )(laver          )(4  )
(1902   )(law            )(6  )
(1903   )(lawmak         )(3  )
(1904   )(lawrenc        )(1  )
(1905   )(lawyer         )(9  )
(1906   )(lax            )(2  )
(1907   )(lay            )(1  )
(1908   )(lazio          )(2  )
(1909   )(lead           )(21 )
(1910   )(leader         )(57 )
(1911   )(leadership     )(1  )
(1912   )(leak           )(1  )
(1913   )(learn          )(5  )
(1914   )(least          )(36 )
(1915   )(leav           )(26 )
(1916   )(led            )(14 )
(1917   )(lee            )(3  )
(1918   )(lefortovo      )(1  )
(1919   )(left           )(31 )
(1920   )(leftist        )(4  )
(1921   )(leg            )(1  )
(1922   )(legal          )(1  )
(1923   )(legendari      )(2  )
(1924   )(legisl         )(1  )
(1925   )(legislatur     )(1  )
(1926   )(length         )(1  )
(1927   )(leonard        )(1  )
(1928   )(less           )(9  )
(1929   )(let            )(5  )
(1930   )(letter         )(7  )
(1931   )(level          )(2  )
(1932   )(liber          )(1  )
(1933   )(libyan         )(1  )
(1934   )(lie            )(3  )
(1935   )(lien!          )(1  )
(1936   )(life           )(11 )
(1937   )(lift           )(3  )
(1938   )(light          )(3  )
(1939   )(lighter        )(1  )
(1940   )(lightli        )(1  )
(1941   )(like           )(33 )
(1942   )(likin          )(1  )
(1943   )(lima           )(4  )
(1944   )(limit          )(2  )
(1945   )(limousin       )(1  )
(1946   )(limp           )(1  )
(1947   )(linda          )(2  )
(1948   )(lindsay        )(12 )
(1949   )(lindsey        )(2  )
(1950   )(line           )(8  )
(1951   )(linger         )(1  )
(1952   )(link           )(10 )
(1953   )(lisa           )(4  )
(1954   )(list           )(9  )
(1955   )(listen         )(2  )
(1956   )(lister         )(1  )
(1957   )(littl          )(14 )
(1958   )(live           )(13 )
(1959   )(liveliest      )(1  )
(1960   )(load           )(1  )
(1961   )(loan           )(1  )
(1962   )(lob            )(1  )
(1963   )(local          )(8  )
(1964   )(locat          )(1  )
(1965   )(locu           )(1  )
(1966   )(london         )(7  )
(1967   )(lone           )(1  )
(1968   )(long           )(20 )
(1969   )(long:          )(1  )
(1970   )(longer         )(2  )
(1971   )(longestsought  )(1  )
(1972   )(longplan       )(1  )
(1973   )(longstand      )(1  )
(1974   )(longterm       )(1  )
(1975   )(longtim        )(2  )
(1976   )(look           )(27 )
(1977   )(loran          )(3  )
(1978   )(lose           )(2  )
(1979   )(loser          )(1  )
(1980   )(loss           )(7  )
(1981   )(lost           )(14 )
(1982   )(lot            )(5  )
(1983   )(loud           )(2  )
(1984   )(loui           )(6  )
(1985   )(love           )(3  )
(1986   )(low            )(2  )
(1987   )(loyalist       )(1  )
(1988   )(loyalti        )(3  )
(1989   )(lt             )(5  )
(1990   )(lucki          )(2  )
(1991   )(lui            )(4  )
(1992   )(lumber         )(1  )
(1993   )(lurin          )(1  )
(1994   )(luther         )(1  )
(1995   )(luxuri         )(3  )
(1996   )(maceda         )(6  )
(1997   )(machet         )(1  )
(1998   )(machin         )(1  )
(1999   )(machinist      )(1  )
(2000   )(madden         )(1  )
(2001   )(made           )(30 )
(2002   )(madelein       )(7  )
(2003   )(madelin        )(1  )
(2004   )(magazin        )(1  )
(2005   )(magnitud       )(14 )
(2006   )(main           )(19 )
(2007   )(mainli         )(1  )
(2008   )(mainstay       )(1  )
(2009   )(mainten        )(2  )
(2010   )(maj            )(1  )
(2011   )(major          )(18 )
(2012   )(make           )(20 )
(2013   )(makeshift      )(1  )
(2014   )(malcolm        )(1  )
(2015   )(malfunct       )(1  )
(2016   )(malhotra       )(1  )
(2017   )(mall           )(1  )
(2018   )(man            )(25 )
(2019   )(manag          )(7  )
(2020   )(mangl          )(3  )
(2021   )(mangu          )(1  )
(2022   )(manhunt        )(6  )
(2023   )(mani           )(29 )
(2024   )(manipul        )(1  )
(2025   )(manmad         )(2  )
(2026   )(manufactur     )(1  )
(2027   )(marat          )(3  )
(2028   )(marathon       )(2  )
(2029   )(marc           )(7  )
(2030   )(march          )(8  )
(2031   )(marco          )(1  )
(2032   )(margin         )(1  )
(2033   )(maria          )(1  )
(2034   )(marin          )(2  )
(2035   )(mark           )(11 )
(2036   )(market         )(1  )
(2037   )(marlin         )(1  )
(2038   )(marquez        )(1  )
(2039   )(marshallreport )(1  )
(2040   )(martin         )(5  )
(2041   )(martina        )(11 )
(2042   )(martinez       )(1  )
(2043   )(martz          )(1  )
(2044   )(marxist        )(2  )
(2045   )(mass           )(7  )
(2046   )(massacr        )(2  )
(2047   )(massif         )(1  )
(2048   )(massiv         )(20 )
(2049   )(master         )(3  )
(2050   )(mastermind     )(1  )
(2051   )(match          )(9  )
(2052   )(mate           )(1  )
(2053   )(materi         )(2  )
(2054   )(matter         )(1  )
(2055   )(matthew        )(1  )
(2056   )(maximum        )(8  )
(2057   )(maximumsecur   )(4  )
(2058   )(may            )(31 )
(2059   )(mcalest        )(2  )
(2060   )(mcdougal       )(2  )
(2061   )(mcenro         )(1  )
(2062   )(md             )(1  )
(2063   )(mean           )(4  )
(2064   )(meant          )(1  )
(2065   )(meanwhil       )(6  )
(2066   )(measur         )(12 )
(2067   )(mechan         )(1  )
(2068   )(mechanicsvil   )(1  )
(2069   )(media          )(2  )
(2070   )(mediat         )(1  )
(2071   )(medic          )(6  )
(2072   )(medicar        )(1  )
(2073   )(mediumlevel    )(1  )
(2074   )(meet           )(17 )
(2075   )(meghann        )(2  )
(2076   )(mel            )(26 )
(2077   )(melbourn       )(8  )
(2078   )(mele           )(2  )
(2079   )(member         )(29 )
(2080   )(memo           )(2  )
(2081   )(memori         )(8  )
(2082   )(men            )(36 )
(2083   )(mend           )(3  )
(2084   )(mention        )(2  )
(2085   )(menu           )(1  )
(2086   )(mere           )(2  )
(2087   )(mershon        )(1  )
(2088   )(mess           )(2  )
(2089   )(messag         )(3  )
(2090   )(met            )(9  )
(2091   )(metal          )(4  )
(2092   )(metaphor       )(1  )
(2093   )(mexican        )(1  )
(2094   )(mexico         )(6  )
(2095   )(miami          )(1  )
(2096   )(miamid         )(1  )
(2097   )(miamidad       )(1  )
(2098   )(michael        )(6  )
(2099   )(michel         )(1  )
(2100   )(microscop      )(1  )
(2101   )(mid            )(1  )
(2102   )(middecemb      )(1  )
(2103   )(middl          )(23 )
(2104   )(middleclass    )(2  )
(2105   )(mideast        )(1  )
(2106   )(midnight       )(1  )
(2107   )(midway         )(2  )
(2108   )(might          )(5  )
(2109   )(mike           )(2  )
(2110   )(miklaszewski   )(6  )
(2111   )(mile           )(7  )
(2112   )(milit          )(4  )
(2113   )(militari       )(45 )
(2114   )(militarili     )(2  )
(2115   )(milken         )(5  )
(2116   )(million        )(13 )
(2117   )(milosev        )(88 )
(2118   )(minaret        )(2  )
(2119   )(mind           )(1  )
(2120   )(mine           )(10 )
(2121   )(miner          )(4  )
(2122   )(mingl          )(1  )
(2123   )(minh           )(6  )
(2124   )(miniatur       )(1  )
(2125   )(minist         )(22 )
(2126   )(ministri       )(1  )
(2127   )(minor          )(1  )
(2128   )(minut          )(15 )
(2129   )(miracl         )(1  )
(2130   )(miracul        )(1  )
(2131   )(miroslav       )(1  )
(2132   )(misconstru     )(1  )
(2133   )(misdemeanor    )(2  )
(2134   )(mishandl       )(1  )
(2135   )(misrepres      )(1  )
(2136   )(miss           )(27 )
(2137   )(missil         )(6  )
(2138   )(mission        )(7  )
(2139   )(mississippi    )(2  )
(2140   )(missouri       )(28 )
(2141   )(missourian     )(1  )
(2142   )(mitchel        )(2  )
(2143   )(mix            )(2  )
(2144   )(mladjan        )(1  )
(2145   )(mob            )(7  )
(2146   )(mobil          )(1  )
(2147   )(moder          )(1  )
(2148   )(modern         )(2  )
(2149   )(modest         )(1  )
(2150   )(modifi         )(1  )
(2151   )(moham          )(1  )
(2152   )(molass         )(1  )
(2153   )(moment         )(14 )
(2154   )(momentum       )(2  )
(2155   )(monday         )(65 )
(2156   )(money          )(4  )
(2157   )(monica         )(8  )
(2158   )(monitor        )(2  )
(2159   )(montana        )(1  )
(2160   )(montenegro     )(1  )
(2161   )(montesino      )(6  )
(2162   )(month          )(58 )
(2163   )(monthold       )(1  )
(2164   )(moon           )(1  )
(2165   )(moor           )(2  )
(2166   )(moral          )(3  )
(2167   )(morariu        )(4  )
(2168   )(morgu          )(1  )
(2169   )(morn           )(14 )
(2170   )(morrano        )(1  )
(2171   )(morton         )(2  )
(2172   )(moscow         )(28 )
(2173   )(mosquito       )(1  )
(2174   )(mostli         )(4  )
(2175   )(motel          )(1  )
(2176   )(mother         )(4  )
(2177   )(motor          )(3  )
(2178   )(mound          )(1  )
(2179   )(mount          )(7  )
(2180   )(mountain       )(8  )
(2181   )(mourn          )(4  )
(2182   )(mourner        )(3  )
(2183   )(move           )(13 )
(2184   )(movi           )(2  )
(2185   )(mph            )(1  )
(2186   )(mr             )(28 )
(2187   )(much           )(23 )
(2188   )(muchawait      )(1  )
(2189   )(mud            )(1  )
(2190   )(muddl          )(1  )
(2191   )(mudslid        )(2  )
(2192   )(mugab          )(1  )
(2193   )(mullin         )(4  )
(2194   )(multipl        )(1  )
(2195   )(municip        )(1  )
(2196   )(murder         )(6  )
(2197   )(murki          )(1  )
(2198   )(murphi         )(2  )
(2199   )(music          )(2  )
(2200   )(muslim         )(3  )
(2201   )(must           )(4  )
(2202   )(mustnt         )(1  )
(2203   )(mute           )(1  )
(2204   )(mutter         )(1  )
(2205   )(mysteri        )(2  )
(2206   )(nam            )(4  )
(2207   )(name           )(9  )
(2208   )(nanci          )(1  )
(2209   )(narayan        )(1  )
(2210   )(narrow         )(2  )
(2211   )(nation         )(34 )
(2212   )(nationalist    )(1  )
(2213   )(nationwid      )(5  )
(2214   )(nativ          )(2  )
(2215   )(nato           )(4  )
(2216   )(natur          )(5  )
(2217   )(nauf           )(1  )
(2218   )(naval          )(17 )
(2219   )(navi           )(78 )
(2220   )(nbc            )(29 )
(2221   )(nd             )(1  )
(2222   )(near           )(24 )
(2223   )(nearbi         )(3  )
(2224   )(nearli         )(11 )
(2225   )(need           )(7  )
(2226   )(neglig         )(2  )
(2227   )(negoti         )(3  )
(2228   )(neighbor       )(6  )
(2229   )(neighborhood   )(9  )
(2230   )(neither        )(1  )
(2231   )(nenad          )(1  )
(2232   )(neocommunist   )(2  )
(2233   )(nepal          )(2  )
(2234   )(nervous        )(1  )
(2235   )(net            )(3  )
(2236   )(network        )(5  )
(2237   )(never          )(6  )
(2238   )(new            )(76 )
(2239   )(newburi        )(2  )
(2240   )(newest         )(1  )
(2241   )(newli          )(7  )
(2242   )(news           )(70 )
(2243   )(newspap        )(3  )
(2244   )(next           )(23 )
(2245   )(ng             )(1  )
(2246   )(nic            )(1  )
(2247   )(nicaragua      )(1  )
(2248   )(nick           )(1  )
(2249   )(nicola         )(1  )
(2250   )(night          )(27 )
(2251   )(nighttim       )(1  )
(2252   )(nina           )(1  )
(2253   )(nine           )(5  )
(2254   )(nixon          )(2  )
(2255   )(nobodi         )(1  )
(2256   )(nomin          )(2  )
(2257   )(nomine         )(2  )
(2258   )(none           )(2  )
(2259   )(nonstop        )(1  )
(2260   )(noon           )(3  )
(2261   )(norfolk        )(8  )
(2262   )(normal         )(2  )
(2263   )(norman         )(3  )
(2264   )(north          )(4  )
(2265   )(northern       )(2  )
(2266   )(northwest      )(1  )
(2267   )(northwestern   )(2  )
(2268   )(norway         )(3  )
(2269   )(norwegian      )(17 )
(2270   )(notabl         )(1  )
(2271   )(note           )(10 )
(2272   )(noth           )(5  )
(2273   )(notic          )(1  )
(2274   )(notori         )(1  )
(2275   )(nov            )(3  )
(2276   )(novemb         )(2  )
(2277   )(nowher         )(2  )
(2278   )(npr            )(5  )
(2279   )(nuclear        )(31 )
(2280   )(nuclearpow     )(1  )
(2281   )(null           )(1  )
(2282   )(number         )(14 )
(2283   )(numer          )(1  )
(2284   )(nurs           )(1  )
(2285   )(oath           )(2  )
(2286   )(object         )(1  )
(2287   )(oblig          )(1  )
(2288   )(observ         )(3  )
(2289   )(obtain         )(7  )
(2290   )(obvious        )(2  )
(2291   )(occasion       )(1  )
(2292   )(occup          )(1  )
(2293   )(occur          )(2  )
(2294   )(ocean          )(2  )
(2295   )(oct            )(3  )
(2296   )(octob          )(18 )
(2297   )(odd            )(1  )
(2298   )(offend         )(1  )
(2299   )(offens         )(1  )
(2300   )(offer          )(5  )
(2301   )(offic          )(46 )
(2302   )(office:        )(3  )
(2303   )(offici         )(110)
(2304   )(offshor        )(1  )
(2305   )(often          )(4  )
(2306   )(ofussia        )(1  )
(2307   )(oil            )(2  )
(2308   )(ok             )(1  )
(2309   )(okla           )(2  )
(2310   )(oklahoma       )(1  )
(2311   )(old            )(5  )
(2312   )(olsen          )(1  )
(2313   )(olymp          )(3  )
(2314   )(olympian       )(1  )
(2315   )(oncepow        )(1  )
(2316   )(oncourt        )(1  )
(2317   )(one            )(88 )
(2318   )(onetim         )(5  )
(2319   )(ongo           )(1  )
(2320   )(onscen         )(1  )
(2321   )(onto           )(6  )
(2322   )(open           )(59 )
(2323   )(openair        )(1  )
(2324   )(oper           )(16 )
(2325   )(oppon          )(5  )
(2326   )(opportun       )(1  )
(2327   )(oppos          )(1  )
(2328   )(opposit        )(57 )
(2329   )(oppositioncontrol)(1  )
(2330   )(option         )(2  )
(2331   )(orano          )(1  )
(2332   )(ordeal         )(1  )
(2333   )(order          )(7  )
(2334   )(ordnanc        )(1  )
(2335   )(organ          )(4  )
(2336   )(orient         )(1  )
(2337   )(origin         )(2  )
(2338   )(orthoped       )(1  )
(2339   )(osama          )(6  )
(2340   )(other          )(15 )
(2341   )(otherwis       )(1  )
(2342   )(ouattara       )(5  )
(2343   )(oust           )(11 )
(2344   )(ouster         )(1  )
(2345   )(outboard       )(1  )
(2346   )(outbreak       )(2  )
(2347   )(outburst       )(1  )
(2348   )(outcom         )(7  )
(2349   )(outer          )(3  )
(2350   )(outgo          )(2  )
(2351   )(outlast        )(2  )
(2352   )(outlaw         )(3  )
(2353   )(outlet         )(1  )
(2354   )(outmaneuv      )(2  )
(2355   )(outrag         )(4  )
(2356   )(outsid         )(13 )
(2357   )(overcom        )(1  )
(2358   )(overh          )(1  )
(2359   )(overlook       )(1  )
(2360   )(overnight      )(3  )
(2361   )(overpow        )(4  )
(2362   )(overse         )(3  )
(2363   )(oversea        )(6  )
(2364   )(overshadow     )(2  )
(2365   )(overthrow      )(1  )
(2366   )(overthrown     )(1  )
(2367   )(overtim        )(1  )
(2368   )(overton        )(1  )
(2369   )(overturff      )(1  )
(2370   )(overturn       )(1  )
(2371   )(overwhelm      )(2  )
(2372   )(owen           )(1  )
(2373   )(owner          )(1  )
(2374   )(pa             )(1  )
(2375   )(pace           )(1  )
(2376   )(pacif          )(4  )
(2377   )(pack           )(1  )
(2378   )(page           )(3  )
(2379   )(paid           )(3  )
(2380   )(pain           )(1  )
(2381   )(paint          )(2  )
(2382   )(pair           )(2  )
(2383   )(pajoli         )(1  )
(2384   )(pakistan       )(4  )
(2385   )(pakistani      )(1  )
(2386   )(palac          )(2  )
(2387   )(pale           )(1  )
(2388   )(palestinian    )(10 )
(2389   )(pall           )(2  )
(2390   )(pallbear       )(1  )
(2391   )(pan            )(1  )
(2392   )(panamericana   )(1  )
(2393   )(pandya         )(1  )
(2394   )(panel          )(2  )
(2395   )(paniagua       )(8  )
(2396   )(panic          )(1  )
(2397   )(paper          )(2  )
(2398   )(parad          )(2  )
(2399   )(pardon         )(51 )
(2400   )(pari           )(2  )
(2401   )(pariah         )(2  )
(2402   )(park           )(2  )
(2403   )(parliament     )(19 )
(2404   )(parliamentari  )(1  )
(2405   )(parodi         )(1  )
(2406   )(parol          )(1  )
(2407   )(part           )(22 )
(2408   )(parti          )(15 )
(2409   )(particip       )(1  )
(2410   )(particular     )(2  )
(2411   )(partli         )(1  )
(2412   )(partner        )(4  )
(2413   )(partnership    )(1  )
(2414   )(pascagoula     )(1  )
(2415   )(paso           )(1  )
(2416   )(pasricha       )(1  )
(2417   )(pass           )(4  )
(2418   )(passion        )(1  )
(2419   )(past           )(12 )
(2420   )(path           )(1  )
(2421   )(pathway        )(1  )
(2422   )(patient        )(1  )
(2423   )(patricia       )(1  )
(2424   )(patrick        )(9  )
(2425   )(patrol         )(1  )
(2426   )(patti          )(1  )
(2427   )(paubl          )(1  )
(2428   )(pauli          )(1  )
(2429   )(pave           )(2  )
(2430   )(pay            )(1  )
(2431   )(payment        )(1  )
(2432   )(peac           )(11 )
(2433   )(peas           )(1  )
(2434   )(peltier        )(1  )
(2435   )(penalti        )(2  )
(2436   )(pend           )(2  )
(2437   )(peninsula      )(6  )
(2438   )(pent           )(1  )
(2439   )(pentag         )(1  )
(2440   )(pentagon       )(33 )
(2441   )(peopl          )(86 )
(2442   )(pepper         )(1  )
(2443   )(percent        )(1  )
(2444   )(perch          )(3  )
(2445   )(perez          )(3  )
(2446   )(perform        )(1  )
(2447   )(pergram        )(1  )
(2448   )(perhap         )(4  )
(2449   )(period         )(2  )
(2450   )(perish         )(2  )
(2451   )(perman         )(2  )
(2452   )(persian        )(13 )
(2453   )(persiangulf    )(1  )
(2454   )(person         )(6  )
(2455   )(personnel      )(2  )
(2456   )(persuad        )(4  )
(2457   )(peru           )(34 )
(2458   )(peruvian       )(15 )
(2459   )(pervas         )(1  )
(2460   )(pete           )(8  )
(2461   )(peter          )(2  )
(2462   )(petersburg     )(1  )
(2463   )(phone          )(5  )
(2464   )(photo          )(2  )
(2465   )(physic         )(2  )
(2466   )(pick           )(9  )
(2467   )(pictur         )(3  )
(2468   )(piec           )(1  )
(2469   )(pierc          )(1  )
(2470   )(piggyback      )(1  )
(2471   )(pilot          )(3  )
(2472   )(pin            )(1  )
(2473   )(pink           )(1  )
(2474   )(place          )(15 )
(2475   )(plagu          )(1  )
(2476   )(plan           )(30 )
(2477   )(plane          )(28 )
(2478   )(plaster        )(1  )
(2479   )(platt          )(1  )
(2480   )(play           )(10 )
(2481   )(player         )(11 )
(2482   )(plea           )(2  )
(2483   )(plead          )(3  )
(2484   )(pledg          )(14 )
(2485   )(plot           )(4  )
(2486   )(plow           )(1  )
(2487   )(plum           )(1  )
(2488   )(plume          )(1  )
(2489   )(plush          )(1  )
(2490   )(plust          )(1  )
(2491   )(pm             )(2  )
(2492   )(pocket         )(2  )
(2493   )(podgorica      )(1  )
(2494   )(point          )(15 )
(2495   )(pois           )(1  )
(2496   )(poland         )(1  )
(2497   )(pole           )(2  )
(2498   )(polic          )(35 )
(2499   )(policeman      )(2  )
(2500   )(policemen      )(1  )
(2501   )(polici         )(16 )
(2502   )(policymak      )(3  )
(2503   )(polish         )(1  )
(2504   )(polit          )(40 )
(2505   )(politician     )(5  )
(2506   )(politika       )(1  )
(2507   )(poll           )(5  )
(2508   )(ponder         )(1  )
(2509   )(pope           )(43 )
(2510   )(popul          )(1  )
(2511   )(popular        )(10 )
(2512   )(port           )(34 )
(2513   )(portsid        )(1  )
(2514   )(portsmouth     )(1  )
(2515   )(posit          )(2  )
(2516   )(possibl        )(21 )
(2517   )(post           )(8  )
(2518   )(poster         )(1  )
(2519   )(postpon        )(3  )
(2520   )(postur         )(1  )
(2521   )(potenti        )(3  )
(2522   )(pound          )(2  )
(2523   )(pour           )(4  )
(2524   )(poverti        )(2  )
(2525   )(powel          )(1  )
(2526   )(power          )(69 )
(2527   )(prais          )(2  )
(2528   )(pray           )(1  )
(2529   )(precari        )(1  )
(2530   )(precaut        )(3  )
(2531   )(preced         )(1  )
(2532   )(precis         )(1  )
(2533   )(predict        )(1  )
(2534   )(prepar         )(14 )
(2535   )(prescript      )(1  )
(2536   )(presenc        )(2  )
(2537   )(present        )(8  )
(2538   )(presid         )(270)
(2539   )(presiden       )(1  )
(2540   )(presidentelect )(5  )
(2541   )(presidenti     )(73 )
(2542   )(press          )(6  )
(2543   )(pressur        )(8  )
(2544   )(presum         )(6  )
(2545   )(pretti         )(1  )
(2546   )(prevail        )(2  )
(2547   )(prevent        )(7  )
(2548   )(previous       )(5  )
(2549   )(prime          )(12 )
(2550   )(princ          )(1  )
(2551   )(princip        )(1  )
(2552   )(prinosil       )(2  )
(2553   )(prior          )(1  )
(2554   )(prison         )(64 )
(2555   )(privaci        )(1  )
(2556   )(privat         )(2  )
(2557   )(prize          )(1  )
(2558   )(probabl        )(2  )
(2559   )(probe          )(9  )
(2560   )(problem        )(6  )
(2561   )(procedur       )(1  )
(2562   )(proceed        )(2  )
(2563   )(process        )(2  )
(2564   )(proclaim       )(1  )
(2565   )(prodemocraci   )(5  )
(2566   )(produc         )(1  )
(2567   )(product        )(1  )
(2568   )(profession     )(1  )
(2569   )(profil         )(1  )
(2570   )(progeni        )(1  )
(2571   )(progovern      )(1  )
(2572   )(progress       )(4  )
(2573   )(projectil      )(1  )
(2574   )(promilosev     )(1  )
(2575   )(promin         )(3  )
(2576   )(promis         )(11 )
(2577   )(promot         )(1  )
(2578   )(prompt         )(3  )
(2579   )(proof          )(1  )
(2580   )(prope          )(1  )
(2581   )(properti       )(1  )
(2582   )(proport        )(1  )
(2583   )(propos         )(1  )
(2584   )(prosecut       )(6  )
(2585   )(prosecutor     )(13 )
(2586   )(prospect       )(2  )
(2587   )(prosper        )(3  )
(2588   )(prote          )(1  )
(2589   )(protect        )(6  )
(2590   )(protest        )(25 )
(2591   )(protestor      )(2  )
(2592   )(proud          )(1  )
(2593   )(provid         )(3  )
(2594   )(provinc        )(1  )
(2595   )(psycholog      )(1  )
(2596   )(public         )(9  )
(2597   )(publicli       )(1  )
(2598   )(pull           )(14 )
(2599   )(punch          )(2  )
(2600   )(punish         )(8  )
(2601   )(purchas        )(4  )
(2602   )(purport        )(1  )
(2603   )(purs           )(1  )
(2604   )(pursu          )(4  )
(2605   )(push           )(6  )
(2606   )(put            )(10 )
(2607   )(putin          )(16 )
(2608   )(putsch         )(1  )
(2609   )(puzzl          )(1  )
(2610   )(quak           )(25 )
(2611   )(quang          )(1  )
(2612   )(quarten        )(1  )
(2613   )(quarter        )(7  )
(2614   )(quarterfin     )(4  )
(2615   )(question       )(22 )
(2616   )(quick          )(1  )
(2617   )(quickli        )(8  )
(2618   )(quiet          )(3  )
(2619   )(quit           )(3  )
(2620   )(quiz           )(1  )
(2621   )(quot           )(3  )
(2622   )(quotear        )(1  )
(2623   )(quran          )(2  )
(2624   )(race           )(18 )
(2625   )(race:          )(1  )
(2626   )(racial         )(2  )
(2627   )(racket         )(1  )
(2628   )(radic          )(3  )
(2629   )(radio          )(2  )
(2630   )(rafter         )(5  )
(2631   )(rag            )(1  )
(2632   )(rage           )(2  )
(2633   )(rain           )(3  )
(2634   )(raini          )(3  )
(2635   )(rais           )(9  )
(2636   )(rajesh         )(1  )
(2637   )(ralli          )(10 )
(2638   )(rambo:         )(4  )
(2639   )(ramirez        )(2  )
(2640   )(rampal         )(1  )
(2641   )(ramstein       )(1  )
(2642   )(ran            )(1  )
(2643   )(rang           )(1  )
(2644   )(rank           )(1  )
(2645   )(rape           )(2  )
(2646   )(rapist         )(3  )
(2647   )(rare           )(11 )
(2648   )(rather         )(2  )
(2649   )(rattl          )(2  )
(2650   )(raucou         )(1  )
(2651   )(ravag          )(2  )
(2652   )(raven          )(1  )
(2653   )(ray            )(5  )
(2654   )(rd             )(6  )
(2655   )(reach          )(22 )
(2656   )(reaction       )(2  )
(2657   )(read           )(7  )
(2658   )(readi          )(3  )
(2659   )(real           )(1  )
(2660   )(realiti        )(1  )
(2661   )(realli         )(4  )
(2662   )(reappear       )(1  )
(2663   )(rear           )(3  )
(2664   )(reason         )(2  )
(2665   )(reassess       )(1  )
(2666   )(rebecca        )(1  )
(2667   )(rebellion      )(1  )
(2668   )(rebound        )(1  )
(2669   )(rebuild        )(1  )
(2670   )(recap          )(1  )
(2671   )(recaptur       )(3  )
(2672   )(reced          )(1  )
(2673   )(receiv         )(8  )
(2674   )(recent         )(11 )
(2675   )(reckon         )(4  )
(2676   )(recogn         )(2  )
(2677   )(recommend      )(10 )
(2678   )(reconcili      )(2  )
(2679   )(reconstruct    )(1  )
(2680   )(record         )(3  )
(2681   )(recov          )(32 )
(2682   )(recoveri       )(9  )
(2683   )(recreat        )(1  )
(2684   )(recruit        )(1  )
(2685   )(recuper        )(1  )
(2686   )(red            )(3  )
(2687   )(redcarpet      )(2  )
(2688   )(redey          )(1  )
(2689   )(reelect        )(3  )
(2690   )(refer          )(1  )
(2691   )(reform         )(5  )
(2692   )(refresh        )(1  )
(2693   )(refuel         )(12 )
(2694   )(refuge         )(2  )
(2695   )(refus          )(2  )
(2696   )(refut          )(1  )
(2697   )(regain         )(5  )
(2698   )(regim          )(6  )
(2699   )(region         )(7  )
(2700   )(regist         )(3  )
(2701   )(registr        )(1  )
(2702   )(regret         )(1  )
(2703   )(rehears        )(1  )
(2704   )(reign          )(3  )
(2705   )(reinforc       )(2  )
(2706   )(reject         )(5  )
(2707   )(rejoic         )(1  )
(2708   )(rel            )(8  )
(2709   )(relat          )(6  )
(2710   )(relationship   )(2  )
(2711   )(relax          )(1  )
(2712   )(releas         )(15 )
(2713   )(relentless     )(1  )
(2714   )(relev          )(1  )
(2715   )(reli           )(1  )
(2716   )(relief         )(8  )
(2717   )(religi         )(1  )
(2718   )(relinquish     )(2  )
(2719   )(reluct         )(1  )
(2720   )(remain         )(32 )
(2721   )(remark         )(2  )
(2722   )(rematch        )(1  )
(2723   )(rememb         )(6  )
(2724   )(remind         )(2  )
(2725   )(remnant        )(2  )
(2726   )(remot          )(2  )
(2727   )(remov          )(7  )
(2728   )(renaiss        )(1  )
(2729   )(renew          )(2  )
(2730   )(rent           )(1  )
(2731   )(rep            )(1  )
(2732   )(repair         )(8  )
(2733   )(replac         )(3  )
(2734   )(reply:         )(1  )
(2735   )(report         )(71 )
(2736   )(reportedli     )(5  )
(2737   )(repres         )(5  )
(2738   )(republ         )(5  )
(2739   )(republican     )(32 )
(2740   )(reput          )(2  )
(2741   )(request        )(11 )
(2742   )(requir         )(2  )
(2743   )(rescu          )(27 )
(2744   )(rescuer        )(17 )
(2745   )(research       )(1  )
(2746   )(reserv         )(2  )
(2747   )(reshap         )(3  )
(2748   )(resid          )(8  )
(2749   )(resign         )(32 )
(2750   )(resili         )(2  )
(2751   )(resist         )(2  )
(2752   )(resolut        )(1  )
(2753   )(resolv         )(3  )
