t_index    term            df        
469        architectur     1         
470        archnemesi      2         
471        archriv         1         
472        arctic          3         
473        arduou          2         
474        area            25        
475        arendel         1         
476        areola          1         
477        argentin        1         
478        argentina       1         
479        argentinian     1         
480        argu            6         
481        argument        5         
482        ari             1         
483        aria            1         
484        ariel           1         
485        aris            6         
486        arisen          1         
487        aristed         1         
488        aristid         1         
489        aristocrat      5         
490        arizona         3         
491        ark             3         
492        arkansa         1         
493        arlen           1         
494        arliss          1         
495        arm             23        
496        armageddon      1         
497        armand          1         
498        armchair        1         
499        armi            52        
500        armor           5         
501        armourpl        1         
502        arni            1         
503        arnold          3         
504        aron            1         
505        aroundwhich     1         
506        arous           1         
507        arpid           1         
508        arquett         2         
509        arraign         1         
510        arrang          11        
511        array           3         
512        arrest          31        
513        arriv           66        
514        arrog           7         
515        arrow           2         
516        arroway         1         
517        arsen           3         
518        arsonmurd       1         
519        art             21        
520        artemu          1         
521        arteri          1         
522        arthur          7         
523        arti            2         
524        articl          1         
525        articul         1         
526        artifact        5         
527        artifici        7         
528        artist          16        
529        artistri        1         
530        artisttyp       1         
531        arun            1         
532        arya            1         
533        aryan           1         
534        asajj           1         
535        ascend          2         
536        ascens          2         
537        ascent          2         
538        ascrib          1         
539        asgard          3         
540        asgardian       1         
541        ash             4         
542        asham           1         
543        ashbrook        1         
544        ashburn         1         
545        ashecliff       1         
546        asher           1         
547        ashitaka        1         
548        ashley          4         
549        ashor           1         
550        ashton          2         
551        ashtray         1         
552        asia            2         
553        asid            3         
554        aslam           1         
555        aslan           2         
556        asleep          4         
557        asneez          1         
558        aspect          3         
559        aspen           1         
560        asperg          1         
561        aspir           18        
562        ass             1         
563        assail          1         
564        assassin        35        
565        assault         6         
566        assembl         9         
567        assert          4         
568        assess          1         
569        assign          38        
570        assimil         2         
571        assist          25        
572        associ          19        
573        assort          4         
574        assum           12        
575        asteroid        1         
576        astonish        3         
577        astound         1         
578        astronaut       10        
579        astronom        3         
580        astrophys       1         
581        astut           1         
582        asylum          4         
583        atat            1         
584        ate             1         
585        atheist         1         
586        athen           1         
587        athlet          7         
588        atho            3         
589        atkin           1         
590        atlant          4         
591        atlanta         2         
592        atlanti         1         
593        atmospher       3         
594        atom            2         
595        atop            1         
596        atroc           1         
597        atroci          1         
598        attach          9         
599        attack          51        
600        attar           1         
601        attempt         80        
602        attend          24        
603        attende         1         
604        attent          16        
605        attic           2         
606        atticu          1         
607        attila          1         
608        atting          1         
609        attir           1         
610        attitud         6         
611        attorney        13        
612        attorneyleav    1         
613        attract         29        
614        attribut        1         
615        aubrey          1         
616        auckland        1         
617        auction         1         
618        audienc         11        
619        audio           1         
620        audit           7         
621        auggi           1         
622        augment         1         
623        august          3         
624        augustu         1         
625        aunt            13        
626        aureliu         1         
627        auriga          1         
628        auror           1         
629        aurora          1         
630        auschwitz       1         
631        aussi           1         
632        austin          6         
633        australia       3         
634        australian      5         
635        austrian        3         
636        author          19        
637        auto            5         
638        autobiograph    2         
639        autobiographi   1         
640        autobot         2         
641        automat         5         
642        automaton       1         
643        autonomi        1         
644        autumn          2         
645        aux             1         
646        avail           8         
647        avalanch        1         
648        avalon          1         
649        avatar          3         
650        avec            1         
651        aveng           10        
652        avenu           1         
653        averag          8         
654        averi           1         
655        avert           2         
656        avi             1         
657        aviat           2         
658        avid            2         
659        avila           1         
660        avl             1         
661        avner           1         
662        avoid           17        
663        avrakoto        1         
664        aw              1         
665        await           15        
666        awak            5         
667        awaken          17        
668        awar            11        
669        award           7         
670        awardwin        1         
671        awasthi         1         
672        awesom          4         
673        awkward         5         
674        awol            1         
675        awri            5         
676        axe             1         
677        axel            1         
678        ayatollah       1         
679        aykroyd         1         
680        azad            1         
681        azeem           1         
682        azeroth         1         
683        azkaban         1         
684        azt             1         
685        babe            3         
686        babi            27        
687        babita          1         
688        babylon         1         
689        babysit         1         
690        baca            1         
691        bachelor        5         
692        backdrop        8         
693        backfir         1         
694        background      12        
695        backlash        1         
696        backpack        1         
697        backseat        1         
698        backstag        1         
699        backstreet      1         
700        backup          2         
701        backwood        1         
702        backyard        1         
703        bad             37        
704        badass          1         
705        badassembl      1         
706        badboy          1         
707        baddest         1         
708        baddi           1         
709        badli           9         
710        baffl           1         
711        bafflingli      1         
712        bag             8         
713        baggag          2         
714        baggin          2         
715        bail            1         
716        bailey          1         
717        baja            1         
718        bake            1         
719        baker           6         
720        balanc          5         
721        balboa          3         
722        baldwin         3         
723        bale            3         
724        balian          1         
725        balibari        1         
726        balkan          1         
727        ball            9         
728        ballad          1         
729        balleat         1         
730        ballerina       1         
731        ballet          4         
732        ballist         1         
733        balloon         1         
734        ballsout        2         
735        balmor          1         
736        balrog          1         
737        balthazar       1         
738        baltimor        3         
739        baltimorebas    1         
740        ban             5         
741        bana            1         
742        band            33        
743        bandersnatch    1         
744        bandi           1         
745        bandit          6         
746        bandmat         1         
747        bandwagon       1         
748        bane            1         
749        banega          1         
750        bang            2         
751        bangkok         2         
752        banish          2         
753        bank            32        
754        banker          5         
755        bankrupt        3         
756        banner          3         
757        bannist         1         
758        bannock         1         
759        baptist         1         
760        bar             22        
761        barada          1         
762        baran           1         
763        barb            1         
764        barbar          1         
765        barbara         6         
766        barber          2         
767        barbi           1         
768        barbossa        2         
769        barclay         1         
770        bardem          2         
771        barden          1         
772        bare            11        
773        barebon         1         
774        bargain         11        
775        barish          1         
776        barker          1         
777        barlow          1         
778        barn            3         
779        barnaba         1         
780        barnett         1         
781        barney          1         
782        barnum          2         
783        baron           2         
784        baroni          1         
785        barren          3         
786        barri           9         
787        barrier         3         
788        barrist         1         
789        barrymor        1         
790        bartend         3         
791        bartholomew     1         
792        barton          2         
793        baruchel        1         
794        base            75        
795        basebal         6         
796        basement        6         
797        basi            5         
798        basic           5         
799        basketbal       10        
800        basketcas       1         
801        bass            2         
802        bast            1         
803        basterd         1         
804        bat             5         
805        bate            1         
806        bateman         2         
807        batf            1         
808        bathhous        1         
809        bathtub         1         
810        batman          8         
811        batmanwayn      1         
812        battalion       3         
813        battalionth     1         
814        batter          2         
815        batteri         2         
816        battl           68        
817        battlefield     1         
818        battleground    1         
819        battlereadi     1         
820        battleship      2         
821        bau             1         
822        baudelair       1         
823        bauer           1         
824        baum            2         
825        baxter          2         
826        bay             1         
827        baylor          1         
828        baymax          1         
829        baywatch        1         
830        bb              1         
831        bc              2         
832        beach           11        
833        beachhead       1         
834        beachum         1         
835        beacon          2         
836        beal            1         
837        beam            2         
838        bean            5         
839        beani           1         
840        beanstalk       1         
841        bear            10        
842        bearabl         1         
843        beard           1         
844        beast           8         
845        beat            16        
846        beaten          6         
847        beatl           2         
848        beatric         2         
849        beau            1         
850        beaufort        1         
851        beaupr          1         
852        beausjour       1         
853        beauti          85        
854        beauxbaton      1         
855        beaver          2         
856        beca            1         
857        becam           14        
858        becaus          81        
859        becca           1         
860        beck            1         
861        becker          1         
862        beckert         1         
863        beckett         3         
864        beckham         1         
865        becki           2         
866        beckinsal       1         
867        beckon          2         
868        becom           215       
869        becomesa        1         
870        bed             7         
871        bedford         1         
872        bedouin         1         
873        bedraggl        1         
874        bedridden       1         
875        bedridg         1         
876        bedroom         2         
877        bedtim          1         
878        bee             2         
879        beekeep         1         
880        beer            5         
881        beeri           1         
882        beete           1         
883        beethoven       1         
884        befal           1         
885        befor           148       
886        befriend        17        
887        beg             3         
