t_index    term            df        
4884       hibern          2         
4885       hiccup          1         
4886       hick            3         
4887       hidden          30        
4888       hide            29        
4889       hideandseek     2         
4890       hideaway        2         
4891       hideko          1         
4892       hideou          2         
4893       hideout         3         
4894       hideput         1         
4895       hidetori        1         
4896       hidnen          1         
4897       hierarchi       2         
4898       hieroglyph      1         
4899       high            82        
4900       highadrenalin   1         
4901       highbrow        1         
4902       highclass       1         
4903       higher          4         
4904       highest         4         
4905       highfli         2         
4906       highli          12        
4907       highlytrain     1         
4908       highpow         2         
4909       highpressur     1         
4910       highpric        2         
4911       highprofil      3         
4912       highqual        1         
4913       highschool      9         
4914       highsecur       1         
4915       highsmith       2         
4916       highspe         2         
4917       highstak        4         
4918       highstrung      1         
4919       hightech        5         
4920       highway         6         
4921       hijack          4         
4922       hijinx          1         
4923       hikaru          1         
4924       hike            4         
4925       hiker           1         
4926       hilar           1         
4927       hilari          7         
4928       hill            14        
4929       hillard         1         
4930       hillbilli       1         
4931       himalayan       2         
4932       himand          1         
4933       himmler         1         
4934       hinckley        1         
4935       hinder          1         
4936       hinson          1         
4937       hip             3         
4938       hiphop          1         
4939       hippiti         1         
4940       hippo           1         
4941       hipwel          1         
4942       hirdoffhal      1         
4943       hire            50        
4944       hiro            1         
4945       hirsch          1         
4946       hisher          2         
4947       hispan          1         
4948       histor          5         
4949       histori         42        
4950       historyagain    1         
4951       hit             37        
4952       hitandrun       3         
4953       hitch           2         
4954       hitchen         1         
4955       hitchhik        2         
4956       hitech          1         
4957       hitler          1         
4958       hitman          4         
4959       hiv             2         
4960       hive            3         
4961       hivposit        1         
4962       hm              1         
4963       hmong           1         
4964       ho              1         
4965       hoard           1         
4966       hobb            1         
4967       hobbi           4         
4968       hobbit          3         
4969       hockey          5         
4970       hocki           1         
4971       hockley         1         
4972       hoffman         2         
4973       hogarth         1         
4974       hogg            1         
4975       hoggett         1         
4976       hogwart         6         
4977       hogwild         1         
4978       hoitz           1         
4979       hold            38        
4980       holdup          1         
4981       hole            6         
4982       holeinthewal    1         
4983       holi            6         
4984       holiday         22        
4985       holist          1         
4986       holli           5         
4987       holliday        1         
4988       hollow          1         
4989       hollywood       21        
4990       holm            3         
4991       holocaust       1         
4992       holt            1         
4993       holtzmann       1         
4994       homag           2         
4995       homebefor       1         
4996       homeland        3         
4997       homeless        5         
4998       homemad         2         
4999       homemak         1         
5000       homer           3         
5001       homeschool      1         
5002       homesick        1         
5003       homestead       3         
5004       hometown        12        
5005       homework        1         
5006       homeworld       1         
5007       homicid         9         
5008       homoerot        1         
5009       homophob        2         
5010       homophobia      1         
5011       homosexu        2         
5012       honda           1         
5013       hondo           1         
5014       hone            2         
5015       honesdal        1         
5016       honest          6         
5017       honestbutthuggish 1         
5018       honesti         1         
5019       honestli        1         
5020       honey           2         
5021       honeymoon       3         
5022       hong            4         
5023       honor           12        
5024       honorari        1         
5025       honore          1         
5026       hood            4         
5027       hoodlum         1         
5028       hook            5         
5029       hooker          6         
5030       hooper          1         
5031       hoover          3         
5032       hop             2         
5033       hope            71        
5034       hopeless        1         
5035       hopelessli      2         
5036       hopkin          2         
5037       hopp            1         
5038       hopper          1         
5039       hoppiti         1         
5040       horac           1         
5041       horcrux         2         
5042       hord            3         
5043       horgan          1         
5044       horizon         3         
5045       horner          1         
5046       hornet          1         
5047       horowitz        1         
5048       horribl         16        
5049       horrid          2         
5050       horrif          10        
5051       horrifi         6         
5052       horror          10        
5053       hors            8         
5054       horseman        1         
5055       horsemen        1         
5056       horticultur     1         
5057       horu            1         
5058       hospit          32        
5059       host            7         
5060       hostag          17        
5061       hostagetak      1         
5062       hostel          1         
5063       hostil          6         
5064       hot             14        
5065       hotel           22        
5066       hoth            1         
5067       hothead         3         
5068       hotlin          1         
5069       hotshot         3         
5070       hottemp         1         
5071       hottest         1         
5072       hotti           1         
5073       hound           2         
5074       hounslow        1         
5075       hour            23        
5076       hourli          1         
5077       hous            73        
5078       houseelf        1         
5079       household       8         
5080       househusband    1         
5081       housekeep       5         
5082       housemaid       1         
5083       housemoth       1         
5084       housewarm       1         
5085       housewif        2         
5086       houston         2         
5087       hover           1         
5088       howard          8         
5089       howev           174       
5090       howl            1         
5091       hoyt            1         
5092       hr              1         
5093       hrothgar        1         
5094       hu              1         
5095       hubbi           1         
5096       hubert          1         
5097       huck            1         
5098       huddl           1         
5099       hudson          1         
5100       huff            1         
5101       hug             1         
5102       huge            23        
5103       hugh            5         
5104       hugo            2         
5105       hulk            3         
5106       hulm            1         
5107       human           91        
5108       humancivil      1         
5109       humanist        1         
5110       humanitarian    1         
5111       humankind       5         
5112       humanli         1         
5113       humanlik        1         
5114       humanoid        2         
5115       humantraffick   1         
5116       humbert         1         
5117       humbl           2         
5118       humili          4         
5119       hummel          1         
5120       humong          1         
5121       humor           3         
5122       humperdinck     1         
5123       humpti          1         
5124       humve           1         
5125       hun             1         
5126       hundr           11        
5127       hung            2         
5128       hungari         1         
5129       hungarian       2         
5130       hunger          2         
5131       hungerpain      1         
5132       hungri          4         
5133       hungrier        1         
5134       hunley          1         
5135       hunnam          1         
5136       hunt            42        
5137       hunter          21        
5138       huntergratzn    1         
5139       huntington      1         
5140       huntsman        2         
5141       huntsvil        1         
5142       hurl            2         
5143       hurley          2         
5144       hurri           1         
5145       hurrican        2         
5146       hurt            9         
5147       hurtl           3         
5148       husband         61        
5149       husbandth       1         
5150       huseyin         1         
5151       hush            1         
5152       hussein         1         
5153       hustl           1         
5154       hustler         4         
5155       hut             1         
5156       hutt            1         
5157       hutu            1         
5158       hw              1         
5159       hybrid          1         
5160       hyde            1         
5161       hydra           1         
5162       hyena           1         
5163       hynkel          1         
5164       hype            1         
5165       hyperdr         1         
5166       hyperg          1         
5167       hyperion        1         
5168       hyperionuntil   1         
5169       hyperspac       1         
5170       hypnosi         2         
5171       hypnot          2         
5172       hypnotherapist  1         
5173       hypochondriac   2         
5174       hypoderm        1         
5175       hypothet        1         
5176       hyster          3         
5177       ian             1         
5178       ibelin          1         
5179       ibn             1         
5180       ice             10        
5181       icebox          1         
5182       icecream        1         
5183       iceland         2         
5184       iceman          1         
5185       ichabod         1         
5186       ichimonji       1         
5187       ici             3         
5188       icon            4         
5189       icona           1         
5190       iconoclast      1         
5191       idaho           1         
5192       idea            33        
5193       ideal           6         
5194       idealist        8         
5195       ident           26        
5196       identifi        8         
5197       ideolog         1         
5198       idgi            1         
5199       idiosyncrat     1         
5200       idli            3         
5201       idol            7         
5202       idyl            5         
5203       ifan            1         
5204       ignit           2         
5205       ignor           11        
5206       ii              21        
5207       iii             4         
5208       ike             1         
5209       il              1         
5210       ilbas           1         
5211       ill             11        
5212       illeg           9         
5213       illegitim       1         
5214       illfat          1         
5215       illfortun       1         
5216       illicit         3         
5217       illinoi         3         
5218       illiter         1         
5219       illprepar       1         
5220       illtemp         1         
5221       illuminati      2         
5222       illus           3         
5223       illusionist     2         
5224       illustri        1         
5225       illya           1         
5226       illyria         1         
5227       ilsa            1         
5228       imag            4         
5229       imageri         1         
5230       imagin          25        
5231       imaginari       1         
5232       imbalanc        1         
5233       imf             4         
5234       imhotep         2         
5235       imit            1         
5236       immatur         4         
5237       immedi          20        
5238       immens          4         
5239       immers          2         
5240       immigr          3         
5241       immin           3         
5242       immor           1         
5243       immort          9         
5244       immun           1         
5245       impact          1         
5246       impair          1         
5247       impart          1         
5248       impass          2         
5249       impati          2         
5250       impedi          1         
5251       impend          4         
5252       imperfect       1         
5253       imperi          5         
5254       imperson        4         
5255       impetu          3         
5256       implant         2         
5257       implic          3         
5258       import          16        
5259       importantli     6         
5260       imposs          20        
5261       impregn         1         
5262       impresario      2         
5263       impress         7         
5264       impressionist   3         
5265       imprison        23        
5266       improb          1         
5267       impromptu       2         
5268       improp          1         
5269       improperli      1         
5270       improv          5         
5271       improvis        1         
5272       imprvu          1         
5273       impuls          4         
5274       impun           1         
5275       impur           2         
5276       inadvert        3         
5277       inappropri      1         
5278       inbr            2         
5279       incarcer        5         
5280       incendi         1         
5281       incept          1         
5282       incest          1         
5283       inch            1         
5284       incid           21        
5285       inclin          2         
5286       includ          76        
5287       incom           2         
5288       incompat        2         
5289       incompet        2         
5290       incomplet       1         
5291       incomprehens    1         
5292       inconsist       1         
5293       incorrectli     1         
5294       incorrig        1         
5295       increas         6         
5296       increasingli    12        
5297       incred          19        
5298       incredul        1         
5299       incrimin        1         
5300       incur           3         
5301       inde            4         
5302       indecis         1         
5303       indefinit       2         
5304       indemn          1         
5305       indentur        1         
5306       independ        9         
5307       indestruct      2         
5308       indi            1         
5309       india           13        
5310       indian          12        
5311       indiana         1         
5312       indict          1         
5313       indiffer        2         
5314       indigen         1         
5315       indign          1         
5316       indio           1         
5317       indirect        2         
5318       indirectli      2         
5319       indiscret       1         
5320       indiscrimin     1         
5321       indispens       1         
5322       individu        14        
5323       indr            1         
5324       induc           1         
5325       indulg          4         
5326       industri        8         
5327       industrialist   4         
5328       inebri          1         
5329       inept           1         
5330       inescap         2         
5331       inevit          11        
5332       inexor          2         
5333       inexperienc     3         
5334       inexplic        8         
5335       inextric        3         
5336       inez            1         
5337       infal           1         
5338       infam           7         
5339       infami          1         
5340       infant          6         
5341       infantri        2         
5342       infatu          2         
5343       infect          9         
5344       infest          2         
5345       infidel         5         
5346       infight         1         
5347       infiltr         11        
5348       inflat          1         
5349       inflex          1         
5350       inflict         1         
5351       influenc        7         
5352       influenti       2         
5353       inform          36        
5354       ingen           1         
5355       ingeni          1         
5356       ingenu          2         
5357       ingrain         1         
5358       ingratitud      1         
5359       ingrid          2         
5360       inhabit         16        
5361       inherit         10        
5362       initech         1         
5363       initi           21        
5364       inject          1         
5365       injur           7         
5366       injuri          5         
5367       injustic        3         
5368       inlaw           1         
5369       inmat           4         
5370       inn             1         
5371       innerc          1         
5372       innerhero       1         
5373       innkeep         1         
5374       innoc           31        
5375       innov           1         
5376       innuendo        1         
5377       inopportun      1         
5378       inquiri         1         
5379       insan           14        
5380       insanealcohol   1         
5381       inscrut         1         
5382       insect          4         
5383       insecur         5         
5384       insepar         2         
5385       insert          2         
5386       insid           30        
5387       insidi          1         
5388       insight         3         
5389       insignific      1         
5390       insist          5         
5391       insol           1         
5392       insolv          1         
5393       insomnia        2         
5394       insomniac       1         
5395       inspect         1         
5396       inspector       6         
5397       inspir          15        
5398       instal          6         
5399       instanc         2         
5400       instant         1         
5401       instantan       1         
5402       instantli       5         
5403       instig          1         
5404       instil          1         
5405       instinct        8         
5406       institut        9         
5407       institution     1         
5408       instruct        6         
5409       instructor      2         
5410       instrument      3         
5411       insult          4         
5412       insuper         1         
5413       insur           5         
5414       insurmount      2         
5415       intact          2         
5416       integr          4         
5417       intel           1         
5418       intellectu      7         
5419       intellig        28        
5420       intend          7         
5421       intens          13        
5422       intensifi       2         
5423       intent          35        
5424       interact        5         
5425       interced        2         
5426       intercut        1         
5427       interfer        5         
5428       intergalact     4         
5429       intergend       1         
5430       interior        2         
5431       interlock       2         
5432       intermediari    1         
5433       intern          16        
5434       internet        7         
5435       internship      2         
5436       interpol        1         
5437       interpret       2         
5438       interraci       2         
5439       interrel        1         
5440       interrog        6         
5441       interrupt       4         
5442       intersect       2         
5443       interst         1         
5444       interstellar    1         
5445       intertwin       5         
5446       interven        8         
5447       interview       6         
5448       interwar        1         
5449       interzon        1         
5450       intest          1         
5451       intim           2         
5452       intimid         3         
5453       intost          1         
5454       intric          4         
5455       intricaci       1         
5456       intrigu         7         
5457       introduc        10        
5458       introspect      1         
5459       introvert       1         
5460       intrud          2         
5461       invad           13        
5462       invalu          2         
5463       invas           12        
5464       invent          9         
5465       inventor        8         
5466       invest          5         
5467       investig        67        
5468       investor        2         
5469       inveter         1         
5470       invinc          4         
5471       invis           4         
5472       invit           29        
5473       invok           2         
5474       involuntari     1         
5475       involv          50        
5476       iowa            1         
5477       ipkiss          1         
5478       ipkisss         1         
5479       iq              2         
5480       ir              1         
5481       ira             3         
5482       iran            2         
5483       iranian         1         
5484       iraq            4         
5485       iraqi           1         
5486       ireland         2         
5487       iren            4         
5488       iri             3         
5489       irina           1         
5490       irish           11        
5491       irishamerican   2         
5492       irishman        1         
5493       iron            9         
5494       ironclad        1         
5495       ironi           1         
5496       irradi          1         
5497       irrelev         2         
5498       irrepress       1         
5499       irresist        2         
5500       irrespons       2         
5501       irrever         2         
5502       irrevers        2         
5503       irrevoc         1         
5504       irrit           2         
5505       irv             2         
5506       isaac           1         
5507       isaak           1         
5508       isabel          3         
5509       isabella        1         
5510       isak            1         
5511       isar            1         
5512       iscariot        1         
5513       ishaan          1         
5514       ishmael         1         
5515       isi             1         
5516       isidoro         1         
5517       isl             1         
5518       isla            1         
5519       islam           1         
5520       island          43        
5521       islandset       1         
5522       isnt            21        
5523       isol            15        
5524       isra            1         
5525       israel          1         
5526       issu            14        
5527       istanbul        2         
5528       itali           10        
5529       italian         3         
5530       itch            1         
5531       item            3         
5532       itiner          1         
5533       iturbid         1         
5534       iv              3         
5535       ivan            2         
5536       ivi             3         
5537       ivori           1         
5538       jabba           2         
5539       jabberwocki     1         
5540       jack            40        
5541       jackal          1         
5542       jacket          1         
5543       jacki           2         
5544       jackjack        1         
5545       jackson         6         
5546       jackthelad      1         
5547       jacob           8         
5548       jade            1         
5549       jaeger          1         
5550       jafar           1         
5551       jaffey          1         
5552       jaguar          2         
5553       jai             1         
5554       jail            15        
5555       jailbreak       1         
5556       jailer          1         
5557       jailhous        1         
5558       jakard          1         
5559       jake            9         
5560       jakku           1         
5561       jakobi          1         
5562       jam             3         
5563       jama            1         
5564       jamaica         1         
5565       jamaican        2         
5566       jamal           1         
5567       jame            44        
5568       jamess          1         
5569       jami            6         
5570       jan             1         
5571       jane            9         
5572       janet           1         
5573       janey           1         
5574       jang            1         
5575       jango           1         
5576       jani            2         
5577       janitor         3         
5578       jann            1         
5579       jano            1         
5580       jansen          1         
5581       januslik        1         
5582       japan           8         
5583       japanes         16        
5584       jar             1         
5585       jare            4         
5586       jarrod          1         
5587       jasmin          1         
5588       jason           7         
5589       jasper          1         
5590       javert          2         
5591       javier          2         
5592       jay             9         
5593       jazz            6         
5594       jealou          8         
5595       jealousi        6         
5596       jean            9         
5597       jeanbaptist     2         
5598       jeanluc         1         
5599       jeann           2         
5600       jedediah        1         
5601       jedi            5         
5602       jeff            8         
5603       jefferson       1         
5604       jeffrey         2         
5605       jeffri          1         
5606       jekyllmr        1         
5607       jellyfish       1         
5608       jem             1         
5609       jemain          1         
5610       jen             1         
5611       jenkin          1         
5612       jenko           2         
5613       jenner          1         
5614       jenni           4         
5615       jennif          8         
5616       jensen          3         
5617       jenson          1         
5618       jeopard         4         
5619       jeopardi        1         
5620       jeremi          3         
5621       jericho         1         
5622       jeriko          1         
5623       jerk            1         
5624       jernigan        1         
5625       jerom           1         
5626       jerri           6         
5627       jerrydaphn      1         
5628       jersey          5         
5629       jerusalem       4         
5630       jess            6         
5631       jessi           1         
5632       jessica         1         
5633       jessup          1         
5634       jesu            3         
5635       jesuswho        1         
5636       jet             4         
5637       jetblack        1         
5638       jethro          1         
5639       jeun            1         
5640       jew             7         
5641       jewel           1         
5642       jewish          8         
5643       jewishamerican  1         
5644       jewishconvert   1         
5645       jfk             1         
5646       jfklike         1         
5647       jigsaw          2         
5648       jill            1         
5649       jillian         1         
5650       jilt            1         
5651       jim             18        
5652       jimmi           14        
5653       jinn            1         
5654       jinx            1         
5655       jinxi           1         
5656       jiro            1         
5657       jj              1         
5658       jm              1         
5659       jo              2         
5660       joad            1         
5661       joann           1         
5662       joanna          1         
5663       job             106       
5664       jobless         1         
5665       jobson          1         
5666       jobswel         1         
5667       jock            4         
5668       jockey          1         
5669       jodi            2         
5670       joe             24        
5671       joel            2         
5672       joey            4         
5673       jog             1         
5674       johann          2         
5675       johanna         1         
5676       johannesburg    2         
5677       johansson       1         
5678       john            72        
5679       johnni          14        
5680       johnson         9         
5681       johnston        1         
5682       joi             1         
5683       join            80        
5684       joint           6         
5685       joke            3         
5686       joker           2         
5687       jokersarewild   1         
5688       joli            1         
5689       jolt            1         
5690       jon             4         
5691       jonah           3         
5692       jonathan        5         
5693       jone            12        
5694       jonesi          1         
5695       joness          1         
5696       jong            1         
5697       jordan          5         
5698       jordi           1         
5699       jorg            1         
5700       jose            1         
5701       joseph          11        
5702       josephin        2         
5703       josh            2         
5704       joshua          2         
5705       josi            2         
5706       journal         6         
5707       journalist      10        
5708       journey         60        
5709       joust           1         
5710       jovial          1         
5711       joy             8         
5712       joyc            1         
5713       joyless         1         
5714       joyou           1         
5715       jr              11        
5716       jrotc           1         
5717       juan            3         
5718       juda            1         
5719       judaea          1         
5720       judah           1         
5721       jude            2         
5722       judea           1         
5723       judg            16        
5724       judgment        1         
5725       judi            2         
5726       judici          1         
5727       juggl           2         
5728       juic            4         
5729       juici           1         
5730       jule            3         
5731       juli            7         
5732       julia           6         
5733       juliann         1         
5734       juliet          3         
5735       julio           1         
5736       jumanji         1         
5737       jumbl           1         
5738       jump            12        
5739       jumper          1         
5740       june            6         
5741       jung            1         
5742       jungl           18        
5743       juni            1         
5744       junior          7         
5745       junk            1         
5746       junki           2         
5747       junkyard        1         
5748       juno            1         
5749       jupit           1         
5750       jurass          4         
5751       juri            4         
5752       jurisdict       1         
5753       juror           1         
5754       justgradu       1         
5755       justic          22        
5756       justifi         4         
5757       justin          3         
5758       juvenil         3         
5759       juvi            1         
5760       juxtapos        1         
5761       kaffe           1         
5762       kahlo           1         
5763       kaiju           1         
5764       kailani         1         
5765       kala            1         
5766       kaleidoscop     1         
5767       kamino          1         
5768       kane            5         
5769       kangaroo        1         
5770       kangaroohuman   1         
5771       kanji           1         
5772       kansa           1         
5773       kaplan          1         
5774       kappa           1         
5775       kara            2         
5776       karan           1         
5777       karat           1         
5778       karen           4         
5779       karenin         1         
5780       karenina        1         
5781       karishif        1         
5782       karl            1         
5783       karushif        1         
5784       karwai          1         
5785       kasper          1         
5786       kasunagi        1         
5787       kat             3         
5788       katana          1         
5789       katara          1         
5790       katarina        1         
5791       kate            11        
5792       katharin        1         
5793       katherin        6         
5794       kathi           2         
5795       kathryn         2         
5796       kati            2         
5797       katniss         4         
5798       kato            1         
5799       katrina         1         
5800       katsumoto       1         
5801       kaufman         2         
5802       kaun            1         
5803       kavan           1         
5804       kavanagh        1         
5805       kawadaar        1         
5806       kay             1         
5807       kaywho          1         
5808       kazahkstan      1         
5809       kazakhstan      1         
5810       keat            1         
5811       keecia          1         
5812       keeley          1         
5813       keen            1         
5814       keeper          2         
5815       keesey          1         
5816       keje            1         
5817       keldysh         1         
5818       keller          2         
5819       kelli           7         
5820       kemper          1         
5821       ken             3         
5822       kendal          1         
5823       kendrick        1         
5824       kennedi         4         
5825       kennel          1         
5826       kenneth         1         
5827       kenobi          4         
5828       kensington      1         
5829       kent            2         
5830       kenton          1         
5831       kentucki        1         
5832       kenzi           1         
5833       keough          1         
5834       kesher          1         
5835       kettridg        1         
5836       kevin           15        
5837       key             23        
5838       keyess          1         
5839       keymak          1         
5840       keyser          1         
5841       keziah          1         
5842       kgb             3         
5843       khadgar         1         
5844       khan            2         
5845       kharazhan       1         
5846       khatchadourian  1         
5847       kia             1         
5848       kick            5         
5849       kickabout       1         
5850       kickass         1         
5851       kickstart       1         
5852       kid             54        
5853       kidman          1         
5854       kidnap          27        
5855       kidnapp         3         
5856       kidney          1         
5857       kiefer          1         
5858       kigali          1         
5859       kikuchi         1         
5860       kilgor          1         
5861       kill            146       
5862       killer          47        
5863       killin          1         
5864       kilmer          1         
5865       kim             4         
5866       kimbl           2         
5867       kin             2         
5868       kincaid         1         
5869       kind            23        
5870       kindergarten    2         
5871       kindl           1         
5872       kindli          3         
5873       kindr           2         
5874       king            50        
5875       kingdom         11        
5876       kingman         1         
5877       kingpin         4         
5878       kingsman        2         
5879       kinki           1         
5880       kinsfolk        1         
5881       kip             1         
5882       kipl            1         
5883       kirbi           1         
5884       kiriyama        1         
5885       kirk            5         
5886       kirkebi         1         
5887       kirkwood        1         
5888       kiss            4         
5889       kit             1         
5890       kitchen         5         
5891       kite            1         
5892       kitten          1         
5893       kitti           4         
5894       kkk             1         
5895       klaatu          1         
5896       klan            1         
5897       klara           1         
5898       klau            2         
5899       kleptomaniac    1         
5900       klimov          1         
5901       kline           1         
5902       klingon         1         
5903       klump           1         
5904       klux            1         
5905       knack           1         
5906       knee            1         
5907       kneetrembl      1         
5908       knew            13        
5909       knife           2         
5910       knig            1         
5911       knight          13        
5912       knighthood      1         
5913       knightli        1         
5914       knit            1         
5915       knive           1         
5916       knock           12        
5917       knockout        1         
5918       knot            1         
5919       knowital        1         
5920       knowledg        14        
5921       knox            1         
5922       koala           1         
5923       kod             1         
5924       kohlver         1         
5925       kombat          1         
5926       kombi           1         
5927       kong            5         
5928       korben          1         
5929       korea           5         
5930       korean          1         
5931       koufax          1         
5932       kouzuki         1         
5933       kovak           1         
5934       kowalczyk       1         
5935       kowalski        3         
5936       kraken          1         
5937       krampu          2         
5938       krank           1         
5939       kray            1         
5940       kremlin         1         
5941       krendler        1         
5942       kriep           1         
5943       krill           1         
5944       krispi          1         
5945       krista          1         
5946       kristen         1         
5947       kristoff        1         
5948       kronk           1         
5949       ks              2         
5950       ku              1         
5951       kubelik         1         
5952       kuklinski       1         
5953       kumari          1         
5954       kunal           1         
5955       kung            2         
5956       kuni            2         
5957       kurt            2         
5958       kurtz           1         
5959       kuryakin        1         
5960       kuzco           1         
5961       kwan            1         
5962       kyle            4         
5963       kylecatwoman    1         
5964       la              42        
5965       lab             5         
5966       label           2         
5967       labelless       1         
5968       labil           1         
5969       laboeuf         1         
5970       labor           3         
5971       laboratori      6         
5972       labyrinth       2         
5973       lace            1         
5974       lack            11        
5975       lacon           2         
5976       lad             1         
5977       ladd            1         
5978       ladder          4         
5979       laden           1         
5980       ladi            23        
5981       lado            1         
5982       ladybug         1         
5983       lafleur         1         
5984       lagoon          1         
5985       laguardia       1         
5986       laid            7         
5987       laidback        1         
5988       lair            1         
5989       laird           1         
5990       lake            8         
5991       lakesid         2         
5992       laketown        2         
5993       lam             1         
5994       lambert         1         
5995       lame            1         
5996       lament          1         
5997       lamia           1         
5998       lamont          1         
5999       lamotta         1         
6000       lamp            1         
6001       lan             1         
6002       lana            1         
6003       lanc            2         
6004       lanci           1         
6005       land            51        
6006       landa           1         
6007       landlord        2         
6008       landmark        1         
6009       lando           1         
6010       landon          1         
6011       landscap        5         
6012       lane            3         
6013       laney           1         
6014       lang            2         
6015       langdon         2         
6016       langford        2         
6017       langley         1         
6018       langston        1         
6019       languag         2         
6020       lantern         1         
6021       lap             1         
6022       lapd            9         
6023       lara            2         
6024       larcen          1         
6025       larch           1         
6026       laredo          1         
6027       larg            33        
6028       larger          6         
6029       largerthanlif   1         
6030       largest         4         
6031       lark            2         
6032       larkin          3         
6033       larocca         1         
6034       laroch          1         
6035       larrabe         1         
6036       larri           8         
6037       larson          1         
