(1712, 46.20793006564763)
(2738, 46.1606041258305)
(467, 45.8903148040341)
(2517, 45.833313376229434)
(876, 45.83331337622943)
(1625, 45.83292589704848)
(862, 45.81874988624754)
(2248, 45.81874988624753)
(1014, 45.818749886247524)
(1960, 45.80146318148905)
(450, 45.80146318148904)
(1899, 45.33273715345706)
(868, 45.30241827975808)
(2688, 45.30241827975808)
(2804, 45.30241827975808)
(1556, 45.30130694768968)
(525, 45.28038285845137)
(2451, 45.28038285845137)
(661, 45.27929730699816)
(34, 45.11279994826371)
(378, 45.11279994826371)
(521, 45.11279994826371)
(528, 45.11279994826371)
(625, 45.11279994826371)
(650, 45.11279994826371)
(921, 45.11279994826371)
(971, 45.11279994826371)
(1062, 45.11279994826371)
(1181, 45.11279994826371)
(1364, 45.11279994826371)
(1493, 45.11279994826371)
(1579, 45.11279994826371)
(1737, 45.11279994826371)
(1796, 45.11279994826371)
(1840, 45.11279994826371)
(1896, 45.11279994826371)
(1911, 45.11279994826371)
(2023, 45.11279994826371)
(2027, 45.11279994826371)
(2059, 45.11279994826371)
(2139, 45.11279994826371)
(2143, 45.11279994826371)
(2365, 45.11279994826371)
(2387, 45.11279994826371)
(2414, 45.11279994826371)
(2689, 45.11279994826371)
(2959, 45.11279994826371)
(2961, 45.11279994826371)
(3605, 45.11279994826371)
(3767, 45.11279994826371)
(2200, 44.952172066807435)
(1476, 44.939917164727646)
(1534, 44.894221671718086)
(2305, 44.60087267763807)
(1705, 44.389355889980905)
(74, 44.3500079811823)
(2118, 44.284508911155214)
(2413, 44.233124670926074)
(1588, 44.2262155757282)
(2523, 43.88982430850487)
(2838, 43.88982430850487)
(2080, 43.79561455798665)
(3069, 43.79561455798664)
(1311, 43.441623306079904)
(230, 43.37073727136442)
(3520, 43.269588677744615)
(2998, 42.961954148440235)
(2056, 42.8854765482974)
(164, 42.75150254389244)
(2253, 42.707130652692356)
(2845, 42.66859078595417)
(1745, 42.571964898268426)
(3617, 42.439902334315164)
(2209, 42.40856045690835)
(2855, 42.29318623640826)
(3466, 42.29314740909021)
(3511, 42.28719198630006)
(2226, 42.13451071678303)
(1171, 41.94364513936435)
(3381, 41.87333099454059)
(3688, 41.83837151408282)
(2206, 41.65797782179084)
(327, 41.6461590201088)
(2875, 41.5743114024451)
(80, 41.54877163761038)
(103, 41.389451822900085)
(1993, 41.24980127115068)
(2747, 41.22086970609683)
(487, 41.15562085062181)
(540, 41.137771299828884)
(561, 41.10237747663496)
(2674, 40.87384188601991)
(2178, 40.705560234407514)
(1696, 40.70556023440751)
(2196, 40.68193535848427)
(3231, 40.68193535848427)
(3722, 40.68193535848427)
(674, 40.68193535848426)
(763, 40.68193535848425)
(3718, 40.68193535848425)
(3743, 40.61473531775125)
(1006, 40.56959467102749)
(2204, 40.5472247391929)
(473, 40.47345983406679)
(3126, 40.47345983406679)
(2778, 40.44113144045699)
(2706, 40.37102858097352)
(801, 40.371028580973515)
(1256, 40.2539183758073)
(858, 40.16878097029189)
(2846, 40.13806474277886)
(2679, 40.0859939963849)
(2012, 40.05403090713619)
(115, 40.04484617271595)
(1182, 39.97942324997369)
(2931, 39.883935186464086)
(1903, 39.87847686084895)
(3401, 39.76773716588694)
(1217, 39.71242085791195)
(1946, 39.604323955226064)
(2497, 39.28089341847201)
(3338, 39.20140440618364)
(1083, 39.119014443823446)
(264, 39.11901444382343)
(3414, 39.02436462689908)
(1350, 38.78828273115063)
(2169, 38.7863406998202)
(2970, 38.76497219910953)
(1983, 38.713277423277574)
(1661, 38.70098456946237)
(835, 38.67515211902997)
(1835, 38.60948025546126)
(2220, 38.37978824397552)
(2063, 38.37905305140586)
(3618, 38.23152718156507)
(722, 38.218399759976286)
(729, 38.15205941693601)
(1581, 38.15205941693601)
(1151, 38.152059416936005)
(1698, 38.152059416936005)
(2091, 38.152059416936005)
(2205, 38.152059416936005)
(2996, 38.152059416936005)
(3198, 38.152059416936005)
(1073, 38.073707482634404)
(3122, 37.84602117905165)
(3628, 37.84602117905165)
