tt0105695
movie_id       cosine_similarity   
tt0187078      0.054930            
tt0114614      0.176346            
tt0264796      0.338722            
tt0210945      0.250309            
tt0277296      0.183862            
tt0122151      0.064730            
tt0125439      0.134995            
tt0060107      0.004949            
tt0119643      0.296978            
tt0120623      0.121223            
tt0086879      0.263850            
tt0119683      0.050585            
tt0298203      0.466592            
tt0268380      0.000000            
tt5867800      0.222642            
tt0183505      0.364482            
tt0277027      0.140826            
tt3631112      0.180280            
tt0120611      0.222620            
tt0181865      0.007366            
tt0414993      0.014458            
tt0103112      0.300849            
tt1490017      0.258125            
tt4061010      0.168447            
tt0106611      0.136043            
tt1386697      0.012392            
tt1748122      0.212056            
tt0758746      0.240893            
tt0119256      0.151631            
tt2322441      0.090250            
tt0117571      0.030288            
tt0120577      0.000000            
tt0116282      0.370360            
tt1798603      0.048909            
tt0104348      0.421721            
tt2872718      0.240425            
tt0070735      0.205768            
tt2713180      0.041663            
tt1872181      0.097523            
tt0104454      0.171214            
tt2015381      0.136956            
tt1649419      0.124740            
tt0388795      0.031074            
tt0120586      0.154464            
tt0046911      0.191901            
tt0099674      0.182780            
tt1077368      0.201598            
tt0335266      0.334830            
tt0118715      0.163461            
tt0314331      0.429042            
tt1936532      0.134532            
tt0170016      0.175230            
tt1601913      0.125032            
tt2140479      0.237390            
tt1583421      0.146046            
tt0212985      0.183491            
tt0356150      0.427376            
tt3289956      0.009200            
tt0119217      0.049543            
tt0395699      0.182146            
tt0104694      0.313306            
tt0357413      0.250398            
tt0304669      0.062795            
tt2338151      0.394492            
tt0118799      0.224773            
tt0364845      0.339546            
tt0109279      0.053943            
tt3521126      0.009660            
tt1596363      0.277339            
tt0322259      0.036579            
tt2194499      0.026141            
tt1735898      0.109080            
tt3079380      0.301098            
tt0482606      0.181539            
tt2397535      0.009754            
tt2245084      0.015806            
tt1074638      0.240430            
tt0041959      0.007081            
tt0405508      0.118450            
tt0411477      0.241748            
tt1758810      0.042747            
tt0114898      0.199934            
tt0257106      0.273388            
tt0115571      0.266590            
tt1130884      0.128536            
tt2226597      0.162804            
tt0150377      0.314629            
tt0451279      0.029724            
tt0146336      0.163296            
tt2395427      0.031440            
tt0110912      0.229208            
tt0106519      0.069023            
tt0101316      0.422219            
tt0099653      0.414133            
tt5109784      0.264216            
tt0800369      0.152712            
tt0099348      0.266995            
tt0110729      0.316158            
tt0892769      0.088353            
tt2024544      0.139747            
tt0118655      0.481700            
tt0117705      0.208066            
tt0209958      0.244860            
tt0113321      0.005460            
tt0111756      0.284319            
tt1255953      0.015880            
tt0307987      0.257607            
tt0330793      0.166259            
tt0384537      0.128811            
tt1219289      0.093538            
tt0050986      0.180926            
tt0432283      0.527781            
tt0084787      0.267137            
tt0436697      0.036481            
tt0175880      0.429886            
tt0107688      0.315500            
tt1631867      0.211583            
tt0486583      0.286447            
tt1401143      0.191307            
tt0478304      0.085610            
tt0485947      0.346800            
tt1386588      0.016872            
tt0099566      0.071057            
tt0100150      0.404643            
tt0103786      0.426849            
tt0119313      0.179302            
tt0102975      0.116044            
tt1724970      0.000000            
tt0832266      0.332243            
tt1485796      0.039053            
tt0117665      0.047703            
tt0088763      0.174021            
tt0266697      0.152291            
tt0104545      0.205141            
tt0031679      0.268460            
tt0111257      0.079299            
tt0866439      0.270664            
tt0964517      0.203010            
tt1375670      0.501359            
tt1637688      0.278783            
tt0044741      0.365916            
