tt0109830
movie_id       cosine_similarity   
tt0461770      0.450270            
tt0038650      0.450270            
tt0234215      0.450270            
tt1091191      0.450270            
tt0117666      0.450270            
tt0765429      0.450270            
tt0116996      0.450270            
tt0319061      0.450270            
tt0050783      0.450270            
tt0118749      0.450270            
tt0340855      0.450270            
tt0046912      0.450270            
tt2262227      0.450270            
tt0107362      0.450270            
tt0369436      0.450270            
tt1673434      0.450270            
tt0469494      0.450270            
tt5247022      0.450270            
tt2089750      0.450270            
tt0087544      0.450270            
tt1663662      0.450270            
tt0109045      0.450270            
tt0418832      0.450270            
tt1860357      0.450270            
tt0389860      0.450270            
tt0184858      0.450270            
tt0104990      0.450270            
tt2042568      0.450270            
tt0241527      0.450270            
tt0285742      0.450270            
tt1496422      0.450270            
tt0120744      0.450270            
tt1840309      0.450270            
tt0119396      0.450270            
tt0988045      0.450270            
tt0253867      0.450270            
tt0130236      0.450270            
tt0138704      0.450270            
tt2543472      0.450270            
tt0102057      0.450270            
tt2239822      0.450270            
tt0398808      0.450270            
tt1172570      0.450270            
tt0416449      0.450270            
tt0187078      0.450270            
tt0114614      0.450270            
tt0264796      0.450270            
tt0210945      0.450270            
tt0277296      0.450270            
tt0122151      0.450270            
tt0125439      0.450270            
tt0060107      0.450270            
tt0119643      0.450270            
tt0120623      0.450270            
tt0086879      0.450270            
tt0119683      0.450270            
tt0298203      0.450270            
tt0268380      0.450270            
tt5867800      0.450270            
tt0183505      0.450270            
tt0277027      0.450270            
tt3631112      0.450270            
tt0120611      0.450270            
tt0181865      0.450270            
tt0414993      0.450270            
tt0103112      0.450270            
tt1490017      0.450270            
tt4061010      0.450270            
tt0106611      0.450270            
tt1386697      0.450270            
tt1748122      0.450270            
tt0758746      0.450270            
tt0119256      0.450270            
tt2322441      0.450270            
tt0117571      0.450270            
tt0120577      0.450270            
tt0116282      0.450270            
tt1798603      0.450270            
tt0104348      0.450270            
tt2872718      0.450270            
tt0070735      0.450270            
tt2713180      0.450270            
tt1872181      0.450270            
tt0104454      0.450270            
tt2015381      0.450270            
tt1649419      0.450270            
tt0388795      0.450270            
tt0120586      0.450270            
tt0046911      0.450270            
tt0099674      0.450270            
tt1077368      0.450270            
tt0335266      0.450270            
tt0118715      0.450270            
tt0314331      0.450270            
tt1936532      0.450270            
tt0170016      0.450270            
tt1601913      0.450270            
tt2140479      0.450270            
tt1583421      0.450270            
tt0212985      0.450270            
tt0356150      0.450270            
tt3289956      0.450270            
tt0119217      0.450270            
tt0395699      0.450270            
tt0104694      0.450270            
tt0357413      0.450270            
tt0304669      0.450270            
tt2338151      0.450270            
tt0118799      0.450270            
tt0364845      0.450270            
tt0109279      0.450270            
tt3521126      0.450270            
tt1596363      0.450270            
tt0322259      0.450270            
tt2194499      0.450270            
tt1735898      0.450270            
tt3079380      0.450270            
tt0482606      0.450270            
tt2397535      0.450270            
tt2245084      0.450270            
tt1074638      0.450270            
tt0041959      0.450270            
tt0405508      0.450270            
tt0411477      0.450270            
tt1758810      0.450270            
tt0114898      0.450270            
tt0257106      0.450270            
tt0115571      0.450270            
tt1130884      0.450270            
tt2226597      0.450270            
tt0150377      0.450270            
tt0451279      0.450270            
tt0146336      0.450270            
tt2395427      0.450270            
tt0110912      0.450270            
tt0106519      0.450270            
tt0101316      0.450270            
tt0099653      0.450270            
tt5109784      0.450270            
tt0800369      0.450270            
tt0099348      0.450270            
tt0110729      0.450270            
tt0892769      0.450270            
tt2024544      0.450270            
tt0118655      0.450270            
tt0117705      0.450270            
tt0209958      0.450270            
tt0113321      0.450270            
tt0111756      0.450270            
tt1255953      0.450270            
tt0307987      0.450270            
tt0330793      0.450270            
tt0384537      0.450270            
tt1219289      0.450270            
tt0050986      0.450270            
tt0432283      0.450270            
tt0084787      0.450270            
tt0436697      0.450270            
tt0175880      0.450270            
tt0107688      0.450270            
tt1631867      0.450270            
tt0486583      0.450270            
tt1401143      0.450270            
tt0478304      0.450270            
tt0485947      0.450270            
tt1386588      0.450270            
tt0099566      0.450270            
tt0100150      0.450270            
tt0103786      0.450270            
tt0119313      0.450270            
tt0102975      0.450270            
tt1724970      0.450270            
tt0832266      0.450270            
tt1485796      0.450270            
tt0117665      0.450270            
tt0088763      0.450270            
tt0266697      0.450270            
tt0104545      0.450270            
tt0031679      0.450270            
tt0111257      0.450270            
tt0866439      0.450270            
tt0964517      0.450270            
tt1375670      0.450270            
tt1637688      0.450270            
tt0044741      0.450270            
tt0101757      0.450270            
tt0762121      0.450270            
tt0983193      0.450270            
tt0196229      0.450270            
tt1670345      0.450270            
tt0454848      0.450270            
tt1528854      0.450270            
tt0134119      0.450270            
tt0452046      0.450270            
tt0478311      0.450270            
tt0120382      0.450270            
tt0106697      0.450270            
tt2820852      0.450270            
tt0109635      0.450270            
tt0144117      0.450270            
tt2802144      0.450270            
tt0332280      0.450270            
tt0795421      0.450270            
tt2305051      0.450270            
tt1853728      0.450270            
tt0110168      0.450270            
tt0119094      0.450270            
tt0155753      0.450270            
tt1282140      0.450270            
tt1267297      0.450270            
tt0022100      0.450270            
tt5311514      0.450270            
tt0112462      0.450270            
tt1800241      0.450270            
tt0213149      0.450270            
tt0203259      0.450270            
tt5715874      0.450270            
tt0078748      0.450270            
tt3890160      0.450270            
tt0116191      0.450270            
tt0293815      0.450270            
tt4263482      0.450270            
tt0052311      0.450270            
tt0107290      0.450270            
tt0100758      0.450270            
tt0133751      0.450270            
tt1661199      0.450270            
tt0096283      0.450270            
tt0119081      0.450270            
tt0100802      0.450270            
tt0187393      0.450270            
tt0108358      0.450270            
tt0076759      0.450270            
tt0186151      0.450270            
tt0117765      0.450270            
tt0106701      0.450270            
tt0790636      0.450270            
tt1210166      0.450270            
tt2527336      0.450270            
tt0144084      0.450270            
tt0115736      0.450270            
tt0120689      0.450270            
tt1659337      0.450270            
tt0120347      0.450270            
tt0087884      0.450270            
tt0116629      0.450270            
tt0378194      0.450270            
tt0104940      0.450270            
tt0107438      0.450270            
tt0120663      0.450270            
tt1578873      0.450270            
tt3532216      0.450270            
tt0309987      0.450270            
tt0108160      0.450270            
tt1379182      0.450270            
tt3332064      0.450270            
tt0074958      0.450270            
tt0383534      0.450270            
tt0113855      0.450270            
tt0105156      0.450270            
tt0332379      0.450270            
tt0105275      0.450270            
tt0118617      0.450270            
tt1809398      0.450270            
tt6868216      0.450270            
tt2279339      0.450270            
tt0238380      0.450270            
tt0062622      0.450270            
tt0071562      0.450270            
tt0482571      0.450270            
tt0780504      0.450270            
tt2180411      0.450270            
tt1454468      0.450270            
tt0116287      0.450270            
tt0113627      0.450270            
tt4209788      0.450270            
tt0317219      0.450270            
tt0120863      0.450270            
tt0079944      0.450270            
tt0119488      0.450270            
tt0442933      0.450270            
tt0107120      0.450270            
tt0118998      0.450270            
tt0496806      0.450270            
tt1321511      0.450270            
tt1504320      0.450270            
tt1528100      0.450270            
tt0106856      0.450270            
tt1615065      0.450270            
tt0107211      0.450270            
tt0110478      0.450270            
tt0212346      0.450270            
tt2234155      0.450270            
tt0217505      0.450270            
tt0185937      0.450270            
tt0349683      0.450270            
tt0356910      0.450270            
tt0386588      0.450270            
tt0099871      0.450270            
tt0046268      0.450270            
tt0371724      0.450270            
tt0021749      0.450270            
